snapshot,source_file,source_sha256,page,sl_no,project_code,legacy_ocms_code,pmgid,project_name,agency_raw,table_section,state,approval_month,start_month,doc_original,doc_revised,cost_original_cr,cost_revised_cr,expenditure_cum_cr,physical_progress_pct,parse_flags
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,1,100001,,,Clean Road Corridor Phase I,NHAI,Road Transport and Highways,Gujarat,2023-02,2023-06,2029-06,,500.0,520.0,100.0,20.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,2,100002,,,Hydro Power Station Unit 2,NHPC,Power,Himachal Pradesh,2020-08,2021-01,2026-12,,900.0,950.0,500.0,60.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,3,100003,,,Doubling of Rail Line Section B,Railways,Railways,Bihar,2022-03,2022-09,2027-03,,700.0,700.0,200.0,30.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,4,100004,,,Refinery Expansion,IOCL,Petroleum,Odisha,2021-05,2021-10,2026-10,,1000.0,1000.0,700.0,70.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,5,100005,,,Stalled Bridge Works,NHAI,Road Transport and Highways,Assam,2019-04,2019-09,2025-06,,300.0,300.0,30.0,0.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,6,100006,,,Slow Metro Extension,DMRC,Urban Development,Delhi,2021-11,2022-02,2026-06,2026-12,400.0,450.0,210.0,50.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,7,100007,,,Nearly Done Port Berth,Port Authority,Shipping and Ports,Tamil Nadu,2020-01,2020-06,2026-03,,600.0,640.0,570.0,90.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,8,100008,,,Vanishing Pipeline Segment,GAIL,Petroleum,Rajasthan,2022-07,2022-12,2027-12,,800.0,800.0,250.0,35.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,9,100010,,,Cost Revised Steel Plant,SAIL,Steel,Chhattisgarh,2021-09,2022-01,2027-09,,800.0,800.0,300.0,45.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,10,100011,,,Overreported Airport Terminal,AAI,Civil Aviation,Kerala,2021-03,2021-06,2020-01,,350.0,360.0,330.0,95.0,NO_PMGID;NO_LEGACY_CODE
2025-12,fixture_2025-12.pdf,8fd65c2aa8899f19a976d59fba2c075bb1e1b5fe824d23e5c75b44418f5730ad,55,11,,,,Island Jetty Works,Port Authority,Shipping and Ports,Andaman and Nicobar Islands,2023-08,2024-01,2027-01,,250.0,250.0,40.0,12.0,NO_PMGID;NO_LEGACY_CODE;NO_PROJECT_CODE
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,1,100001,N04000001,PMG100001,Clean Road Corridor Phase I,NHAI,Road Transport and Highways,Gujarat,2023-02,2023-06,2029-06,,500.0,520.0,130.0,28.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,2,100002,N04000002,PMG100002,Hydro Power Station Unit 2,NHPC,Power,Himachal Pradesh,2020-08,2021-01,2026-12,,900.0,950.0,620.0,64.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,3,100003,N04000003,PMG100003,Doubling of Rail Line Section B,Railways,Railways,Bihar,2022-03,2022-09,2027-03,,700.0,700.0,240.0,38.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,4,100004,N04000004,PMG100004,Refinery Expansion,IOCL,Petroleum,Odisha,2021-05,2021-10,2026-10,,1000.0,1000.0,850.0,78.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,5,100005,N04000005,PMG100005,Stalled Bridge Works,NHAI,Road Transport and Highways,Assam,2019-04,2019-09,2025-06,,300.0,300.0,30.0,0.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,6,100006,N04000006,PMG100006,Slow Metro Extension,DMRC,Urban Development,Delhi,2021-11,2022-02,2026-06,2026-12,400.0,450.0,220.0,52.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,7,100007,N04000007,PMG100007,Nearly Done Port Berth,Port Authority,Shipping and Ports,Tamil Nadu,2020-01,2020-06,2026-03,,600.0,640.0,600.0,95.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,8,100008,N04000008,PMG100008,Vanishing Pipeline Segment,GAIL,Petroleum,Rajasthan,2022-07,2022-12,2027-12,,800.0,800.0,300.0,40.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,9,100010,N04000010,PMG100010,Cost Revised Steel Plant,SAIL,Steel,Chhattisgarh,2021-09,2022-01,2027-09,,800.0,800.0,340.0,50.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,10,100011,N04000011,PMG100011,Overreported Airport Terminal,AAI,Civil Aviation,Kerala,2021-03,2021-06,2020-01,,350.0,360.0,340.0,97.0,
2026-04,fixture_2026-04.pdf,847be62826a218cff0e3af94b18dd3854d01bfcd22ea7dfdefbc88dc4a5aadd7,56,11,100012,N04000012,PMG100012,Island Jetty Works,Port Authority,Shipping and Ports,Andaman and Nicobar Islands,2023-08,2024-01,2027-01,,250.0,250.0,60.0,18.0,MULTILINE_STATE
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,1,100001,N04000001,PMG100001,Clean Road Corridor Phase I,NHAI,Road Transport and Highways,Gujarat,2023-02,2023-06,2029-06,,500.0,520.0,150.0,31.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,2,100002,N04000002,PMG100002,Hydro Power Station Unit 2,NHPC,Power,Himachal Pradesh,2020-08,2021-01,2026-12,,900.0,950.0,120.0,66.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,3,100003,N04000003,PMG100003,Doubling of Rail Line Section B,Railways,Railways,Bihar,2022-03,2022-09,2027-03,,700.0,700.0,260.0,40.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,4,100004,N04000004,PMG100004,Refinery Expansion,IOCL,Petroleum,Odisha,2021-05,2021-10,2026-10,,1000.0,1000.0,950.0,84.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,5,100005,N04000005,PMG100005,Stalled Bridge Works,NHAI,Road Transport and Highways,Assam,2019-04,2019-09,2025-06,,300.0,300.0,30.0,0.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,6,100006,N04000006,PMG100006,Slow Metro Extension,DMRC,Urban Development,Delhi,2021-11,2022-02,2026-06,2027-06,400.0,450.0,225.0,53.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,7,100007,N04000007,PMG100007,Nearly Done Port Berth,Port Authority,Shipping and Ports,Tamil Nadu,2020-01,2020-06,2026-03,,600.0,640.0,615.0,97.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,8,100010,N04000010,PMG100010,Cost Revised Steel Plant,SAIL,Steel,Chhattisgarh,2021-09,2022-01,2027-09,,800.0,800.0,380.0,55.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,9,100011,N04000011,PMG100011,Overreported Airport Terminal,AAI,Civil Aviation,Kerala,2021-03,2021-06,2020-01,,350.0,360.0,345.0,98.0,
2026-05,fixture_2026-05.pdf,427aca971e28a1fb8362d21b52a9f04f9d70bb657acb80e475c799625f38079a,57,10,100012,N04000012,PMG100012,Island Jetty Works,Port Authority,Shipping and Ports,Andaman and Nicobar Islands,2023-08,2024-01,2027-01,,250.0,250.0,70.0,21.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,1,100001,N04000001,PMG100001,Clean Road Corridor Phase I,NHAI,Road Transport and Highways,Gujarat,2023-02,2023-06,2029-06,,500.0,520.0,170.0,34.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,2,100002,N04000002,PMG100002,Hydro Power Station Unit 2,NHPC,Power,Himachal Pradesh,2020-08,2021-01,2026-12,,900.0,950.0,140.0,68.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,3,100003,N04000003,PMG100003,Doubling of Rail Line Section B,Railways,Railways,Bihar,2022-03,2022-09,2027-03,,700.0,700.0,280.0,35.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,4,100004,N04000004,PMG100004,Refinery Expansion,IOCL,Petroleum,Odisha,2021-05,2021-10,2026-10,,1000.0,1000.0,1200.0,90.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,5,100005,N04000005,PMG100005,Stalled Bridge Works,NHAI,Road Transport and Highways,Assam,2019-04,2019-09,2025-06,,300.0,300.0,30.0,0.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,6,100006,N04000006,PMG100006,Slow Metro Extension,DMRC,Urban Development,Delhi,2021-11,2022-02,2026-06,2027-06,400.0,450.0,230.0,54.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,7,100009,N04000009,PMG100009,New Coal Handling Plant,Coal India,Coal,Jharkhand,2026-01,2026-04,2029-03,,450.0,450.0,20.0,5.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,8,100010,N04000010,PMG100010,Cost Revised Steel Plant,SAIL,Steel,Chhattisgarh,2021-09,2022-01,2027-09,,800.0,800.0,420.0,60.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,9,100011,N04000011,PMG100011,Overreported Airport Terminal,AAI,Civil Aviation,Kerala,2021-03,2021-06,2020-01,,350.0,360.0,350.0,99.0,
2026-06,fixture_2026-06.pdf,c92b4b696e2e713c049833c5a53ef13c5e978f81576c0955303fffbb8e109c96,58,10,100012,N04000012,PMG100012,Island Jetty Works,Port Authority,Shipping and Ports,Andaman and Nicobar Islands,2023-08,2024-01,2027-01,,250.0,250.0,80.0,24.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,1,100001,N04000001,PMG100001,Clean Road Corridor Phase I,NHAI,Road Transport and Highways,Gujarat,2023-02,2023-06,2029-06,,500.0,520.0,190.0,37.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,2,100002,N04000002,PMG100002,Hydro Power Station Unit 2,NHPC,Power,Himachal Pradesh,2020-08,2021-01,2026-12,,900.0,950.0,160.0,70.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,3,100003,N04000003,PMG100003,Doubling of Rail Line Section B,Railways,Railways,Bihar,2022-03,2022-09,2027-03,,700.0,700.0,300.0,41.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,4,100004,N04000004,PMG100004,Refinery Expansion,IOCL,Petroleum,Odisha,2021-05,2021-10,2026-10,,1000.0,1000.0,1250.0,92.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,5,100005,N04000005,PMG100005,Stalled Bridge Works,NHAI,Road Transport and Highways,Assam,2019-04,2019-09,2025-06,,300.0,300.0,30.0,0.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,6,100006,N04000006,PMG100006,Slow Metro Extension,DMRC,Urban Development,Delhi,2021-11,2022-02,2026-06,2027-06,400.0,450.0,235.0,55.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,7,100009,N04000009,PMG100009,New Coal Handling Plant,Coal India,Coal,Jharkhand,2026-01,2026-04,2029-03,,450.0,450.0,40.0,9.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,8,100010,N04000010,PMG100010,Cost Revised Steel Plant,SAIL,Steel,Chhattisgarh,2021-09,2022-01,2027-09,,800.0,1600.0,460.0,65.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,9,100011,N04000011,PMG100011,Overreported Airport Terminal,AAI,Civil Aviation,Kerala,2021-03,2021-06,2020-01,,350.0,360.0,355.0,101.0,
2026-07,fixture_2026-07.pdf,4e706b36433de73f5ded345b0a1c904b1517af518e069dbe4a03c2fdcbe281c9,59,10,100012,N04000012,PMG100012,Island Jetty Works,Port Authority,Shipping and Ports,Andaman and Nicobar Islands,2023-08,2024-01,2027-01,,250.0,250.0,90.0,27.0,
